origFID	bottom	left	right	top	value	scalerank	admin	adm0_a3	region	area_sq_m	zoom_start
995	60.170909	18.190441	18.822847	62.55698	23801	0			Europe	39039740563.5068	11
996	60.170909	18.822847	21.793073	62.55698	23802	0			Europe	183358242102.359	11
996	60.491176	21.793073	22.435949	62.55698	23809	1	Finland	FIN	Europe	34531519908.4219	11
995	60.638664	22.435949	23.70565	61.491912	23811	1	Finland	FIN	Europe	27750588068.9961	11
995	61.491912	22.435949	23.751466	62.55698	23813	1	Finland	FIN	Europe	37017423928.6562	11
995	60.268634	23.781585	24.738182	60.990093	23817	1	Finland	FIN	Europe	17438252590.7148	11
996	61.478683	23.781585	24.826541	62.55698	23820	1	Finland	FIN	Europe	29762927989.8359	11
995	60.993782	24.826541	25.716667	62.217369	23829	1	Finland	FIN	Europe	28386230859.8398	11
995	63.306034	17.287519	18.712089	64.707466	23834	1	Sweden	SWE	Europe	56462894207.2266	11
995	62.55698	18.717342	19.717416	63.310516	23836	0			Europe	20524601147.0117	11
996	63.336639	18.712089	19.717416	64.707466	23838	1	Sweden	SWE	Europe	38996981261.7187	11
995	62.55698	19.717416	20.334125	63.812374	23839	0			Europe	21271151872.4336	11
996	63.844593	19.717416	20.334125	64.707466	23844	1	Sweden	SWE	Europe	15194390471.5313	11
995	62.55698	20.334125	21.072517	63.707424	23845	0			Europe	23296173234.75	11
996	63.708766	20.544334	21.677736	64.707466	23851	0			Europe	32241957326.8555	11
995	62.55698	21.677736	22.787137	63.520088	23852	1	Finland	FIN	Europe	29206368584.0938	11
995	63.520088	21.677736	22.787137	64.707466	23853	0			Europe	37395942406.6211	11
995	62.55698	22.787137	25.54	64.707466	23854	1	Finland	FIN	Europe	165266695848.324	11
995	64.707466	17.287519	20.941162	65.605552	23860	1	Sweden	SWE	Europe	96791519337.4922	11
995	64.707466	21.229286	22.1025	65.605552	23863	0			Europe	23132996236.0234	11
995	64.707466	22.203691	25.466737	65.605552	23867	0			Europe	86443908178.2539	11
995	65.605552	17.287519	22.0534	65.982719	23870	1	Sweden	SWE	Europe	54328364258.0234	11
996	65.605552	22.167587	25.716667	65.982719	23875	1	Sweden	SWE	Europe	40457516883.2148	11
995	65.982719	17.287519	20.223943	68.439315	23876	1	Sweden	SWE	Europe	231001695398.699	11
995	68.439315	17.287519	20.223943	69.566246	23877	1	Norway	NOR	Europe	114468590634.438	11
995	65.982719	20.223943	22.817384	69.566246	23878	1	Sweden	SWE	Europe	305118335798.937	11
996	65.982719	22.817384	25.716667	69.566246	23879	1	Finland	FIN	Europe	341100647352.359	11
1990	69.566246	17.287519	25.716667	69.652359	23880	1	Norway	NOR	Europe	25816213477.1367	11
995	59.346664	25.716667	27.772916	59.951168	23883	0			Europe	30484857348.8281	11
996	59.346664	31.058258	50.507564	59.951168	23902	1	Russia	RUS	Europe	288345097769.629	11
996	59.951168	30.513607	50.507564	60.09222	23914	1	Russia	RUS	Europe	69941690953.4375	11
996	60.871997	25.887031	26.703039	61.781978	23923	1	Finland	FIN	Europe	19179385945.3281	11
995	60.09222	26.703039	28.144403	60.870342	23924	1	Finland	FIN	Europe	28209697842.875	11
995	60.870342	26.703039	28.144403	61.781978	23925	1	Finland	FIN	Europe	33938430283.5664	11
995	60.726539	28.144403	28.741796	61.781978	23927	1	Finland	FIN	Europe	16248248756.8672	11
996	60.709377	28.741796	29.728286	61.781978	23931	1	Russia	RUS	Europe	27260080215.6172	11
996	60.270309	29.728286	30.232915	61.781978	23934	1	Russia	RUS	Europe	19518776342.082	11
995	60.209861	30.232915	31.436874	61.781978	23936	1	Russia	RUS	Europe	48385392360.3906	11
995	60.09222	31.436874	35.489627	61.781978	23937	1	Russia	RUS	Europe	174744903236.668	11
996	60.09222	35.489627	50.507564	61.781978	23938	1	Russia	RUS	Europe	647537105735.129	11
995	61.781978	25.75209	27.384996	62.72438	23940	1	Finland	FIN	Europe	40963718680.8281	11
995	61.781978	27.384996	29.69861	62.72438	23941	1	Finland	FIN	Europe	58040225850.1211	11
995	62.72438	25.716667	27.732604	64.338249	23943	1	Finland	FIN	Europe	90482971293.8867	11
995	62.72438	27.732604	29.69861	64.338249	23944	1	Finland	FIN	Europe	88241876835.2383	11
995	64.338249	25.716667	29.69861	65.966026	23945	1	Finland	FIN	Europe	191212648416.312	11
996	65.966026	25.716667	29.69861	68.939186	23946	1	Finland	FIN	Europe	383146668940.43	11
995	61.781978	29.69861	34.327136	62.577209	23947	1	Russia	RUS	Europe	97738936134.9805	11
995	62.577209	29.69861	34.327136	67.003128	23948	1	Russia	RUS	Europe	597491554419.244	11
995	67.003128	29.69861	33.099037	68.939186	23949	1	Russia	RUS	Europe	217646358843.201	11
996	67.003128	33.099037	34.327136	68.939186	23950	1	Russia	RUS	Europe	78605209183.7344	11
995	61.781978	34.327136	40.527446	64.139801	23951	1	Russia	RUS	Europe	398754020848.406	11
995	68.996849	25.716667	33.097442	69.108039	23957	1	Russia	RUS	Europe	28445851945.5039	11
995	-24.792982	50.507564	55.374443	-20.31719	23970	0			High Seas	292394564927.531	11
995	-20.31719	50.507564	59.018184	-20.161989	23974	0			High Seas	17445273581.0664	11
995	-20.31719	106.401718	106.547332	-6.962123	23977	0			High Seas	24860946954.9785	11
995	-20.31719	106.547332	107.008789	-7.316404	23978	0			High Seas	76743655827.627	11
15923	-6.962123	50.507564	107.008789	-6.922502	23981	0			High Seas	27946122076.2241	11
31846	-6.922502	50.507564	107.008789	-6.856452	23982	0			High Seas	46582241240.5002	11
995	-6.856452	50.507564	106.654655	-6.615467	23983	0			High Seas	168837243021.854	11
127382	-6.615467	50.507564	107.008789	-6.581512	23995	0			High Seas	23932631484.2136	11
995	-6.581512	50.507564	106.559585	-6.454235	23996	0			High Seas	88981535586.864	11
995	-6.454235	50.507564	105.920944	-6.351942	24012	0			High Seas	70683930618.1504	11
1019058	-6.351942	50.507564	107.008789	-6.272894	24027	0			High Seas	55684238473.9687	11
2038115	-6.272894	50.507564	107.008789	-6.21	24028	0			High Seas	44298745816.6084	11
995	-6.21	50.507564	55.473403	1.345358	24029	0			High Seas	465690719253.417	11
