origFID	bottom	left	right	top	value	scalerank	admin	adm0_a3	region	area_sq_m	zoom_start
14018	41.415035	-73.050849	-73.019424	41.524402	1990	1	United States of America	USA	North America	56838822.414062	15
14019	41.415035	-73.019424	-72.927742	41.524402	1991	1	United States of America	USA	North America	165826473.078125	15
14020	41.524402	-73.297424	-73.087745	41.591423	1990	1	United States of America	USA	North America	232723878.703125	15
14022	41.591423	-73.10881	-73.087745	41.740474	995	1	United States of America	USA	North America	52083369.65625	15
14023	41.524402	-73.087745	-73.078727	41.740474	3981	1	United States of America	USA	North America	32306200.21875	15
14024	41.524402	-73.078727	-73.037025	41.740474	7962	1	United States of America	USA	North America	149393785.953125	15
14025	41.524402	-73.037025	-72.927742	41.553169	7961	1	United States of America	USA	North America	52046766.148438	15
14026	41.553169	-73.037025	-72.927742	41.600601	3981	1	United States of America	USA	North America	85867071.953125	15
14027	41.600601	-73.037025	-72.927742	41.671398	1990	1	United States of America	USA	North America	128282680.257812	15
14028	41.671398	-73.037025	-72.927742	41.740474	1991	1	United States of America	USA	North America	125300318.984375	15
14029	41.338287	-72.927742	-72.872688	41.455905	7961	1	United States of America	USA	North America	106969583.8125	15
14030	41.338287	-72.872688	-72.764099	41.392784	3980	1	United States of America	USA	North America	97711380.085938	15
14031	41.392784	-72.872688	-72.764099	41.455905	3981	1	United States of America	USA	North America	113276379.867188	15
14032	41.455905	-72.927742	-72.764099	41.536109	15923	1	United States of America	USA	North America	217146611.171875	15
14033	41.536109	-72.927742	-72.844573	41.666709	7961	1	United States of America	USA	North America	179999977.828125	15
14034	41.536109	-72.844573	-72.764099	41.666709	7962	1	United States of America	USA	North America	174167276.453125	15
14035	41.666709	-72.927742	-72.764099	41.740474	15923	1	United States of America	USA	North America	200356916.882812	15
14036	41.338287	-72.764099	-72.641128	41.514472	995	1	United States of America	USA	North America	358067814.046875	15
14037	41.514472	-72.764099	-72.641128	41.540725	995	1	United States of America	USA	North America	53438357.492188	15
14038	41.540725	-72.764099	-72.641128	41.56232	1990	1	United States of America	USA	North America	43973195.617188	15
14039	41.56232	-72.764099	-72.641128	41.598747	3981	1	United States of America	USA	North America	74208429.453125	15
14040	41.598747	-72.764099	-72.641128	41.681816	7961	1	United States of America	USA	North America	169383511.078125	15
14041	41.681816	-72.764099	-72.641128	41.740474	15923	1	United States of America	USA	North America	119739520.109375	15
14043	41.499256	-72.641128	-72.465354	41.562419	995	1	United States of America	USA	North America	183785241.289062	15
14044	41.562419	-72.641128	-72.465354	41.608543	1990	1	United States of America	USA	North America	134320412.210938	15
14045	41.608543	-72.641128	-72.600837	41.740474	1990	1	United States of America	USA	North America	88189178.632812	15
14046	41.608543	-72.600837	-72.555	41.740474	995	1	United States of America	USA	North America	100328296.179688	15
14047	41.608543	-72.555	-72.465354	41.740474	996	1	United States of America	USA	North America	196217693.976562	15
14049	41.338287	-72.220138	-72.164848	41.456111	995	1	United States of America	USA	North America	107616454.203125	15
14050	41.456111	-72.465354	-72.343521	41.644603	995	1	United States of America	USA	North America	380261749.984375	15
14053	41.338287	-72.164848	-71.994453	41.374725	7961	1	United States of America	USA	North America	102503292.601562	15
14054	41.374725	-72.164848	-72.086891	41.491703	1990	1	United States of America	USA	North America	150729561.054688	15
